SEQ_NAME,orf1ab,spike,orf3a,envelope,membrane,orf6,orf7a,orf8,nucleocapsid,orf10,orf1a,orf7b
Wu1-SARS2,NC_045512.2;YP_009724389.1;Wu1-SARS2_orf1ab,NC_045512.2;YP_009724390.1;Wu1-SARS2_surface,NC_045512.2;YP_009724391.1;Wu1-SARS2_orf3a,NC_045512.2;YP_009724392.1;Wu1-SARS2_envelope,NC_045512.2;YP_009724393.1;Wu1-SARS2_membrane,NC_045512.2;YP_009724394.1;Wu1-SARS2_orf6,NC_045512.2;YP_009724395.1;Wu1-SARS2_orf7a,NC_045512.2;YP_009724396.1;Wu1-SARS2_orf8,NC_045512.2;YP_009724397.2;Wu1-SARS2_nucleoca,NC_045512.2;YP_009725255.1;Wu1-SARS2_orf10,NC_045512.2;YP_009725295.1;Wu1-SARS2_orf1a,NC_045512.2;YP_009725318.1;Wu1-SARS2_orf7b
HCoV-229E,NC_002645.1;NP_073549.1;HCoV-229E_1ab,NC_002645.1;NP_073551.1;HCoV-229E_surface,,NC_002645.1;NP_073554.1;HCoV-229E_envelope,NC_002645.1;NP_073555.1;HCoV-229E_membrane,,,,NC_002645.1;NP_073556.1;HCoV-229E_nucleocapsi,,NC_002645.1;NP_073550.1;HCoV-229E_1a,
SARS-CoV,NC_004718.3;NP_828849.2;SARS-CoV_orf1ab,NC_004718.3;NP_828851.1;SARS-CoV_E2-glycopr,NC_004718.3;NP_828852.2;SARS-CoV_3a,NC_004718.3;NP_828854.1;SARS-CoV_E,NC_004718.3;NP_828855.1;SARS-CoV_matrix,NC_004718.3;NP_828856.1;SARS-CoV_6,NC_004718.3;NP_828857.1;SARS-CoV_7,NC_004718.3;NP_849177.1;SARS-CoV_8b,NC_004718.3;NP_828858.1;SARS-CoV_nucleocapsid,,NC_004718.3;NP_828850.1;SARS-CoV_orf1a,NC_004718.3;NP_849175.1;SARS-CoV_7b
HCoV-NL63,NC_005831.2;YP_003766.2;HCoV-NL63_1ab,NC_005831.2;YP_003767.1;HCoV-NL63_spike,NC_005831.2;YP_003768.1;HCoV-NL63_3,NC_005831.2;YP_003769.1;HCoV-NL63_envelope,NC_005831.2;YP_003770.1;HCoV-NL63_membrane,,,,NC_005831.2;YP_003771.1;HCoV-NL63_nucleocap,,,
HCoV-OC43,NC_006213.1;YP_009555238.1;HCoV-OC43_orf1ab,NC_006213.1;YP_009555241.1;HCoV-OC43_spike,,NC_006213.1;YP_009555243.1;HCoV-OC43_envelope,NC_006213.1;YP_009555244.1;HCoV-OC43_membrane,,,,NC_006213.1;YP_009555245.1;HCoV-OC43_nucleoca,,,
HCoV-HKU1,NC_006577.2;YP_173236.1;HCoV-HKU1_orf1ab,NC_006577.2;YP_173238.1;HCoV-HKU1_spike,,,NC_006577.2;YP_173241.1;HCoV-HKU1_membrane,,,,NC_006577.2;YP_173242.1;HCoV-HKU1_nucleocapsi,,,
MERS,NC_019843.3;YP_009047202.1;MERS_1ab,NC_019843.3;YP_009047204.1;MERS_spike,NC_019843.3;YP_009047205.1;MERS_ns3,NC_019843.3;YP_009047209.1;MERS_envelope,NC_019843.3;YP_009047210.1;MERS_membrane,,,,NC_019843.3;YP_009047211.1;MERS_nucleoprote,,NC_019843.3;YP_009047203.1;MERS_1a,
Bat_SARSrCoV,MN996532.1;QHR63299.1;BatCoV_RaTG13_orf1ab,MN996532.1;QHR63300.2;BatCoV_RaTG13_spike,MN996532.1;QHR63301.1;BatCoV_RaTG13_orf3,MN996532.1;QHR63302.1;BatCoV_RaTG13_envelop,MN996532.1;QHR63303.1;BatCoV_RaTG13_membran,MN996532.1;QHR63304.1;BatCoV_RaTG13_orf6,MN996532.1;QHR63305.1;BatCoV_RaTG13_orf7a,MN996532.1;QHR63307.1;BatCoV_RaTG13_orf8,MN996532.1;QHR63308.1;BatCoV_RaTG13_nucleoc,,MN996532.1;QHR63299.1;BatCoV_RaTG13_orf1a,MN996532.1;QHR63306.1;BatCoV_RaTG13_orf7b
Pangolin_CoV,MT072864.1;QIQ54047.1;Pangolin_CoV_orf1ab,MT072864.1;QIQ54048.1;Pangolin_CoV_spike,MT072864.1;QIQ54049.1;Pangolin_CoV_orf3,MT072864.1;QIQ54050.1;Pangolin_CoV_envelope,MT072864.1;QIQ54051.1;Pangolin_CoV_membrane,MT072864.1;QIQ54052.1;Pangolin_CoV_orf6,MT072864.1;QIQ54053.1;Pangolin_CoV_orf7a,MT072864.1;QIQ54055.1;Pangolin_CoV_orf8,MT072864.1;QIQ54056.1;Pangolin_CoV_nucleoca,,MT072864.1;QIQ54046.1;Pangolin_CoV_orf1a,MT072864.1;QIQ54054.1;Pangolin_CoV_orf7b
